method,model_classes,model_supports,model_period,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,6,2,1000,2,1,True,0.544,0.556,0.556
lsh_one_rest,6,2,1000,2,5,True,0.638,0.669,0.669
lsh_one_rest,6,2,1000,2,10,True,0.653,0.736,0.736
lsh_one_rest,6,2,1000,4,1,True,0.347,0.264,0.259
lsh_one_rest,6,2,1000,4,5,True,0.363,0.387,0.408
lsh_one_rest,6,2,1000,4,10,True,0.417,0.482,0.491
lsh_one_rest,6,1,1000,2,1,True,0.464,0.499,0.499
lsh_one_rest,6,1,1000,2,5,True,0.612,0.696,0.696
lsh_one_rest,6,1,1000,2,10,True,0.659,0.716,0.716
lsh_one_rest,6,1,1000,4,1,True,0.302,0.291,0.319
lsh_one_rest,6,1,1000,4,5,True,0.401,0.404,0.408
lsh_one_rest,6,1,1000,4,10,True,0.301,0.357,0.406
lsh_one_rest,6,5,1000,2,1,True,0.541,0.541,0.541
lsh_one_rest,6,5,1000,2,5,True,0.524,0.524,0.524
lsh_one_rest,6,5,1000,2,10,True,0.503,0.503,0.503
lsh_one_rest,6,5,1000,4,1,True,0.262,0.262,0.262
lsh_one_rest,6,5,1000,4,5,True,0.244,0.244,0.244
lsh_one_rest,6,5,1000,4,10,True,0.254,0.254,0.254
lsh_one_rest,6,2,500,2,1,True,0.534,0.54,0.54
lsh_one_rest,6,2,500,2,5,True,0.57,0.625,0.625
lsh_one_rest,6,2,500,2,10,True,0.671,0.704,0.704
lsh_one_rest,6,2,500,4,1,True,0.258,0.255,0.303
lsh_one_rest,6,2,500,4,5,True,0.373,0.427,0.465
lsh_one_rest,6,2,500,4,10,True,0.342,0.378,0.396
lsh_one_rest,6,1,100,2,1,True,0.683,0.652,0.652
lsh_one_rest,6,1,100,2,5,True,0.529,0.593,0.593
lsh_one_rest,6,1,100,2,10,True,0.645,0.687,0.687
lsh_one_rest,6,1,100,4,1,True,0.26,0.225,0.246
lsh_one_rest,6,1,100,4,5,True,0.484,0.365,0.384
lsh_one_rest,6,1,100,4,10,True,0.466,0.432,0.494
lsh_one_rest,6,2,100,2,1,True,0.468,0.442,0.442
lsh_one_rest,6,2,100,2,5,True,0.586,0.641,0.642
lsh_one_rest,6,2,100,2,10,True,0.686,0.666,0.666
lsh_one_rest,6,2,100,4,1,True,0.357,0.297,0.293
lsh_one_rest,6,2,100,4,5,True,0.399,0.397,0.437
lsh_one_rest,6,2,100,4,10,True,0.449,0.472,0.516
lsh_one_rest,6,1,500,2,1,True,0.626,0.566,0.566
lsh_one_rest,6,1,500,2,5,True,0.526,0.623,0.623
lsh_one_rest,6,1,500,2,10,True,0.657,0.696,0.696
lsh_one_rest,6,1,500,4,1,True,0.381,0.293,0.316
lsh_one_rest,6,1,500,4,5,True,0.323,0.332,0.344
lsh_one_rest,6,1,500,4,10,True,0.42,0.408,0.463
lsh_one_rest,6,5,100,2,1,True,0.466,0.466,0.466
lsh_one_rest,6,5,100,2,5,True,0.504,0.504,0.504
lsh_one_rest,6,5,100,2,10,True,0.496,0.496,0.496
lsh_one_rest,6,5,100,4,1,True,0.245,0.245,0.245
lsh_one_rest,6,5,100,4,5,True,0.243,0.243,0.243
lsh_one_rest,6,5,100,4,10,True,0.264,0.264,0.264
lsh_one_rest,6,5,500,2,1,True,0.491,0.49,0.49
lsh_one_rest,6,5,500,2,5,True,0.545,0.52,0.52
lsh_one_rest,6,5,500,2,10,True,0.609,0.655,0.655
lsh_one_rest,6,5,500,4,1,True,0.299,0.303,0.32
lsh_one_rest,6,5,500,4,5,True,0.373,0.42,0.418
lsh_one_rest,6,5,500,4,10,True,0.443,0.455,0.47
