classes,samples,accuracy
cosine,10,0.28125
cosine,10,
cosine,10,0.21875
cosine,10,
cosine,10,0.09375
cosine,10,
cosine,10,0.1875
cosine,20,
cosine,20,0.1875
cosine,20,
cosine,20,0.3125
cosine,20,
cosine,20,0.15625
lsh,one,
lsh,one,0.0625
lsh,one,
lsh,one,0.09375
lsh,one,
lsh,one,0.0
lsh,one,
lsh,one,0.03125
lsh,one,
lsh,one,0.0625
lsh,one,
lsh,one,0.09375
lsh,one,
lsh,one,0.0625
lsh,one,
lsh,one,0.125
lsh,one,
lsh,one,0.1875
lsh,one,
lsh,one,0.03125
lsh,one,
lsh,one,0.15625
lsh,one,
lsh,one,0.0
lsh,one,
lsh,one,0.03125
lsh,one,
lsh,one,0.0
lsh,one,
lsh,one,0.0625
lsh,one,
lsh,one,
lsh,one,
lsh,one,0.125
lsh,one,
lsh,one,0.09375
lsh,random,
lsh,random,
lsh,random,0.09375
lsh,random,
lsh,random,
lsh,random,0.0
lsh,random,
lsh,random,
lsh,random,0.0625
lsh,random,
lsh,random,
lsh,random,0.09375
lsh,random,
lsh,random,
lsh,random,0.15625
lsh,random,
lsh,random,
lsh,random,0.0
lsh,random,
lsh,random,
lsh,random,0.09375
lsh,random,
lsh,random,
lsh,random,0.15625
lsh,random,
lsh,random,
lsh,random,0.125
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.125
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.0
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.1875
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.09375
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.15625
lsh,random,
lsh,random,
lsh,random,0.0625
lsh,random,
lsh,random,0.15625
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.09375
lsh,random,
lsh,random,
lsh,random,0.0625
lsh,random,
lsh,random,
lsh,random,0.0
lsh,random,
lsh,random,
lsh,random,0.0
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,0.125
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.0
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.0
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.0625
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,0.03125
lsh,random,
lsh,random,
lsh,random,0.0625
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
lsh,random,
