method,iteration,nPlanes,effectiveness,cosine acc,lsh acc
random,100,10,0.58,0.91,0.56
random,100,20,0.73,0.89,0.71
random,100,50,0.9,0.96,0.89
random,100,100,0.97,0.92,0.91
random,100,200,0.94,0.93,0.91
random,100,500,0.95,0.88,0.84
random,100,1000,0.99,0.85,0.84
random,100,2000,1.0,0.88,0.88
random,100,5000,1.0,0.98,0.98
random,200,10,0.605,0.915,0.56
random,200,20,0.735,0.845,0.68
random,200,50,0.89,0.895,0.855
random,200,100,0.94,0.88,0.87
random,200,200,0.915,0.84,0.815
random,200,500,0.965,0.9,0.89
random,200,1000,0.975,0.915,0.905
random,200,2000,0.99,0.91,0.915
random,200,5000,0.995,0.895,0.895
random,500,10,0.58,0.9,0.56
random,500,20,0.742,0.852,0.706
random,500,50,0.89,0.892,0.82
random,500,100,0.93,0.896,0.88
random,500,200,0.936,0.896,0.87
random,500,500,0.964,0.85,0.852
random,500,1000,0.976,0.904,0.902
random,500,2000,0.99,0.912,0.922
random,500,5000,0.994,0.878,0.876
random,1000,10,0.614,0.888,0.583
random,1000,20,0.756,0.905,0.728
random,1000,50,0.864,0.883,0.81
random,1000,100,0.941,0.896,0.872
random,1000,200,0.942,0.883,0.864
random,1000,500,0.961,0.883,0.874
random,1000,1000,0.981,0.904,0.901
random,1000,2000,0.977,0.889,0.892
random,1000,5000,0.99,0.893,0.897
random,2000,10,0.7105,0.902,0.6865
random,2000,20,0.754,0.893,0.7335
random,2000,50,0.8795,0.895,0.834
random,2000,100,0.918,0.9025,0.872
random,2000,200,0.931,0.892,0.868
random,2000,500,0.9665,0.891,0.8885
random,2000,1000,0.9785,0.89,0.886
random,2000,2000,0.9805,0.8925,0.8925
random,2000,5000,0.988,0.891,0.8905
random,5000,10,0.5424,0.8938,0.5202
random,5000,20,0.7812,0.8964,0.7518
random,5000,50,0.858,0.8952,0.816
random,5000,100,0.9152,0.8926,0.8606
random,5000,200,0.9428,0.8872,0.8726
random,5000,500,0.9646,0.8928,0.8854
random,5000,1000,0.9742,0.8994,0.8982
random,5000,2000,0.9836,0.89,0.8894
random,5000,5000,0.987,0.8908,0.8894
random,10000,10,0.5588,0.8917,0.533
random,10000,20,0.7814,0.9016,0.7519
random,10000,50,0.8617,0.8962,0.8214
random,10000,100,0.918,0.8897,0.8628
random,10000,200,0.9393,0.8872,0.8704
random,10000,500,0.9648,0.8993,0.8926
random,10000,1000,0.9746,0.8913,0.8895
random,10000,2000,0.9851,0.8938,0.8932
random,10000,5000,0.9884,0.8932,0.8947
